caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,LIMAS,P3,P4,P5_1,P5_2,P5_3,P5_4,P5_5,P6_1,P6_2,P6_3,P6_4,P6_5,P7_1_1,P7_1_2,P7_1_3,P7_2_1,P7_2_2,P7_2_3,P7_2_4,P7_3_1,P7_3_2,P7_3_3,P7_3_4,P7_4_1,P7_4_2,P7_4_3,P7_5_1,P7_5_2,P7_5_3,P7_5_4,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P9,P10,P11,P12_1_1,P12_1_2,P12_2_1,P12_2_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P15_1,P15_2,P15_3,P15_4,P15_5,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P16_9,P16_10,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22_1,P23_1,P23_2,P23_3,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P28_1,P28_2,P28_3,P28_4,P28_5,P28_6,P29_1,P29_2,P29_3,P29_4,P29_5,P29_6,P29_7,P29_8,P30_1,P30_2,P30_3,P30_4,P30_5,P30_6,P30_7,P30_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2
23,2,1,35,3,5,C1,2,1,1,2,1,1,2,3,4,5,2, , , , ,1, , ,1,2, , ,2, , , ,1, , ,1,2,6, , , , , ,2, , , , , ,2,2,5, , , , ,2,11, , , ,10,11,5,12,4,8,13,1,16, , , , ,1,2,8,10,12, , , , , ,1,8, , , , ,1,11, , , , , , ,9, , , , , , ,8,8,16, , , ,1,6, , ,1,6, , ,1,6, , ,1, , , ,1,6, , , ,6, , , ,6, , , , , ,1,6, , ,1,6, , ,1,6, , ,1, , , , , ,1,6, , ,1,1, , , , ,1,3,4,5,6,7,8, ,4,5, , , , ,5, ,5,5,6,5,5,6,5, ,5,4,4,5,3,6,5,6, , , , , , , , , ,2,2, , , , , , , , , , ,1000,120, , , , , , , ,1,1, , , ,30,1,1.18347052,1.23076923
24,2,1,26,3,5,C1,2,10,3,1,1,2,3, , , ,2, , , , , , , ,1, , , ,7, , , , , , , , , , , , , , ,1,4, , , , ,1,1,4, , , , ,6,13, , , ,9,5,7,1,4,6,10,13,16, , , , ,3,7,8, , , , , , , ,8, , , , , ,8, , , , , , , ,10, , , , , , ,7,8,16, , , ,6, , , ,6, , , ,6, , , ,6, , , ,6, , , , ,6, , , ,6, , , , , ,6, , , ,6, , , ,6, , , ,6, , , , , ,6, , , ,2, , , , , ,2,5,7, , , , , ,7, , , , , , ,8, , ,8, ,8, , ,7, , ,5, ,5, ,5,7, , , , , , , , , ,25, , ,74, , , , , , , , ,900, ,355, , , , , , ,1, ,1, , ,31,1,1.09246215,1.03703704
25,2,1,39,4,6,C2,2,5,1,2,1,2,3, , , ,2, , , , , , , ,1,2, , ,3, , , , , , , , , , , , , , ,1, , , , , ,1,1,3, , ,5, , , , , , ,7,9,5,1,13,11,12,4,16, , , , ,1, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,1, , , ,9, , , ,8, , , ,9, , , ,9, , , , ,1, , , ,8, , , , , ,8, , , ,8, , , ,9, , , ,8, , , , , ,9, , , ,2, , , , , ,4, , , , , , , ,4, , , , , , , , ,8, , , , , , , ,7, , , , ,4, , , , , , , , , ,2, , , , , , , , , , , ,250, , , , , , , , ,1, , , , , ,32,1,1.18347052,1.23076923
26,2,1,56,6,5,C1,1,17,4,1,1,2,3,4, , ,2,3,4, , , , , ,1,2, , ,7, , , ,1,2, , , , , , , , , ,1,5, , , , ,5,5,5, , , , ,3,17, , , ,9,5,11,1,13,8,12,4,16, , , , ,1,3,13,32, , , , , , ,13,32, , , , ,13, , , , , , , , , , , , ,11,9,32,13,16, , , ,1, , , ,1,3, , ,1,3, , ,10, , , ,9, , , , ,1,3, , ,1, , , , , ,3, , , ,1,3, , ,1,3, , ,1,3, , , , ,1,3, , ,1,2,3, , , ,3,4,5,7, , , , ,4,7, , , , , , ,7,10,7, ,10, , , ,6,5,5, ,5, ,5,7, , , , , , , , , ,19, , ,55,56, , , , , , , ,120, ,250, , , , , , ,1, ,2, , ,35,1,1.09246215,1.03703704
27,2,1,21,2,7,D,2,46,5,3,1,2,3, , , ,2, , , , , , , ,1,2, , ,1,2, , , , , , , , , , , , , ,1, , , , , ,1,1,5, , , , ,2,17, , , ,3,5,7,9,6,4,1,10,25,4,7, , ,1,4,7,11,25, , , , , ,1,4,25, , , ,25,8, , ,9, , , , , , , , , ,11,1,1,7,2,8, ,1,5, , ,5, , , ,1, , , ,1, , , ,1,7, , , ,1,7, , ,10, , , , , ,1, , , ,1,7, , ,1, , , ,1,7, , , , ,1, , , ,1,1, , , , ,5,7, , , , , , ,5,7, , , , , , , , ,3, ,3, , , , , ,2, ,3, ,7, , , , , , , , , , , , , ,58, , , , , , , , , , ,1000, , , , , , , , ,1, , ,36,1,.81029881,.8
28,2,1,27,3,4,B2,2,10,3,1,1,2,3, , , ,2,3, , , , , , ,1,2, , ,1,2, , , , , , , , , , , , , ,2,4, , , , ,2,2,4, , , , ,3,13, , , ,7,9,3,10,4,8,6,1,17, , , , ,1,4,17, , , , , , , ,1,17, , , , ,1,10, , , , , , , , , , , , ,10,16,1,16, , , ,1, , , ,9, , , ,1, , , ,1, , , ,9, , , , ,1, , , ,9, , , , , ,1, , , ,1, , , ,9, , , ,1, , , , , ,9, , , ,1,2, , , , ,4,5,7, , , , , ,4,7, , , , , , , ,7,6, ,6, , , , ,3,3, ,4, ,4,5,7, , , , , , , ,2,2, , ,57, , , , , , , ,1000,1000, ,100, , , , , ,1,1, ,1, , ,37,1,.89314552,.93333333
29,2,1,62,6,7,D,2,46,5,2,1,3, , , , ,3, , , , , , , , , , , ,1,2,3, , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,1,2,15, , ,5,3,7,6,13,1,2,11,24, , , , ,24, , , , , , , , , ,24, , , , , ,24, , , , , , , , , , , , , ,10,16,24,16, , , ,7, , , ,7, , , ,7, , , ,7, , , ,4, , , , ,7, , , ,9, , , , , ,7, , , ,7, , , ,7, , , ,7, , , , , ,7, , , ,2, , , , , ,5,6, , , , , , ,5, , , , , , , , , ,6,6, , , , , , ,5,6, , ,5,6, , , , , , , , , ,30,14, , , , , , , , , , ,1000,120, , , , , , , ,1,1, , , ,38,1,.81029881,.8
30,2,1,55,5,5,C1,1,32,2,2,1,1,2,3,5, ,2,3,5, , ,1,2, ,6, , , ,3, , , , , , ,6, , , , , , , ,1,2,5, , , ,2,2,3, , ,2, , , , , , ,1,9,2,7,12,8,5,3,16, , , , ,8,10, , , , , , , , ,8, , , , , ,14, , , , , , , ,6, , , , , , ,10,10,16, , , ,8, , , ,6, , , ,6, , , ,6, , , ,7, , , , ,8, , , ,6, , , , , ,9, , , ,6, , , ,6, , , ,5, , , , , ,5, , , ,1,1, , , , ,1,5,6, , , , , ,1, , , , , ,2, , , ,7,6, , ,1, , , ,4,5, , ,1,3,4, , , ,13, ,8, ,13, , , , , , , , ,0, ,120,0, , , , , ,3, ,1,1, , , , , ,39,1,1.29761447,1.11111111
31,2,1,37,4,3,B1,2,32,2,3,1,2,3,5, , ,2, , , , , , , ,1, , , ,7, , , , , , ,2, , , , , , , ,1, , , , , ,1,1,4, , , , ,1,3, , , ,7,5,10,11,8,4,6,9,16, , , , ,7,8,12, , , , , , , ,7,8, , , , ,14, , , , , , ,5,7, , , , , , ,16,12,7,1, , ,6, , , ,6, , , ,6, , , ,6, , , ,6, , , , ,6, , , ,6, , , , , ,6, , , ,6, , , ,6, , , ,6, , , , , ,6, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,8, , , , , , , ,2, , , ,1,3,5, , , ,14, ,8, , ,2, , , , , , , ,10, ,120, ,1000, , , , ,1, ,1, ,1, , , , ,40,1,.81815058,.71428571
32,2,1,36,4,5,C1,1,11,2,1,1,1,2,3,5, ,2, , , , ,1, , ,1, , , ,2, , , , , , ,1,2, , , , , , ,3,10, , , , ,3,3,4, , , , ,8,10, , , ,8,2,5,3,13,4,1,12,4, , , , ,1,4,8, , , , , , , ,4, , , , , ,4, , , ,10, , , , , , , , , , ,8,4,16, , , ,5,9, , ,6, , , ,6, , , ,10, , , ,7, , , , ,6, , , ,7, , , , , ,9, , , ,6, , , ,9, , , ,7, , , , , ,1, , , ,1,1, , , , ,1,5,7,8, , , , ,5, , , , , ,5, , , ,8, ,10,7,3, , , ,5, ,5,7,5,7, , , , , , , , , ,40, , ,68, , , , , , , , ,1000, ,1000, , , , , , ,1, ,1, , ,41,1,1.29761447,1.11111111
33,2,1,38,4,7,D,2,46,5,3,1,2,3, , , ,2,3, , , , , , ,1, , , ,2,6, , , , , , , , , , , , , ,1,2, , , , ,2,2,4, , , , ,1,2,5,7, ,10,9,5,3,8,6,12,1,16, , , , ,2,4,8, , , , , , , ,16, , , , , ,14, , , , , , , , , , , , , , ,16,16,16, , , ,9, , , ,9, , , ,10, , , ,1,6, , ,10, , , , ,9, , , ,9, , , , , ,9, , , ,8, , , ,8, , , ,8, , , , , ,8, , , ,2, , , , , ,5,7,8, , , , , ,5, , , , , , , , , ,8, ,8,6, , , , ,5, ,5,6,5,7,8, , , , , , , , ,34, , ,58, , ,76, , , , , ,120, ,1000,120, , , , , ,1, ,1,1, ,42,1,.81029881,.8
34,2,1,34,3,7,D,1,46,5,2,1,1, , , , ,1, , , , ,1,2,3, , , , , , , , , , , , , , , , , , , ,1,3, , , , ,3,3,4, , , , ,1,8,15, , ,1,2,5,7,6,4,3,10,20, , , , ,3,5,7,10,11,20, , , , ,7,11,20, , , ,20, , , , , , ,7, , , ,6, , ,9,7,20,11,3, , ,2,5, , ,10, , , ,5, , , ,8, , , ,8, , , , ,8, , , ,8, , , , , ,1, , , ,1, , , ,10, , , ,10, , , , , ,10, , , ,2, , , , , ,7, , , , , , , ,7, , , , , , , , , , , ,5, , , , , , , ,3, ,7, , , , , , , , , , , , , ,52, , , , , , , , , , ,380, , , , , , , , ,1, , ,43,1,.81029881,.8
35,2,1,29,3,4,B2,1,6,4,2,1,2,3,4, , ,2,3,4, , , , , ,1,2, , ,1,2,7, ,1, , , , , , , , , , ,1,3,4, , , ,1,4,5, , , , ,1,3,5,15,16,11,2,5,10,13,1,4,8,20, , , , ,20, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,10, , , ,9, , , ,9, , , ,9, , , ,9, , , , ,9, , , ,9, , , , , ,9, , , ,9, , , ,9, , , ,9, , , , , ,9, , , ,2, , , , , ,5,7, , , , , , ,5,7, , , , , , , , ,8, ,8, , , , , ,5, ,5, ,5,7, , , , , , , , , ,9, , ,52, , , , , , , , ,1000, ,380, , , , , , ,1, ,1, , ,44,1,.89314552,.93333333
36,2,1,21,2,7,D,1,46,5,2,1,2,3, , , ,2,3, , , , , , ,1, , , ,1,2, , , , , , , , , , , , , ,1,2, , , , ,2,2,4, , , , ,1,5,9, , ,1,10,11,4,9,2,6,13,1, , , , ,1,10, , , , , , , , ,1, , , , , ,1,9, , , , , , , , , , , , , ,16,1,16, , , ,1, , , ,1, , , ,8, , , ,1,7, , ,1, , , , ,1, , , ,10, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,4, , , , ,5, , , , , , , ,5, , , , , , , , , , , , , , , , , ,5, , , ,5, , , , , , , , , , ,33, , , , , , , , , , , ,120, , , , , , , , ,1, , , , ,45,1,.81029881,.8
37,2,1,35,5,7,D,2,11,2,3,1,2,3, , , ,2, , , , , , , ,1, , , ,2,3, , , , , , , , , , , , , ,1,3,5, , , ,1,1,4, , , , ,12, , , , ,5,7,12,9,1,3,2,8,16, , , , ,10, , , , , , , , , ,10, , , , , ,10, , , , , , , , , ,9, , , , ,1,10,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,1, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,3,5,6, , , , , ,5, , , , , , , ,5, ,5,5, , , , ,5, ,4,5, , ,3,4, , , , , , ,37, ,20, , , , , , , , , , ,120,120, , , , , , , ,1,1, , , , , ,46,1,.94332407,.95454545
38,2,1,38,4,7,D,2,11,2,3,1,2,3,5, , ,1,3,5, , ,1,2, ,1,2, , ,1,2, , , , , ,1,2, , , , , , ,1,6, , , , ,1,1,5, , , , ,10,18, , , ,2,10,11,7,9,1,4,6,7, , , , ,7,12, , , , , , , , ,7,12, , , , ,12, , , , , , ,10, , , , ,9, , ,18,12,16, , , ,5, , , ,5, , , ,5, , , ,5, , , ,5, , , , ,5, , , ,5, , , , , ,5, , , ,5, , , ,5, , , ,5, , , , , ,5, , , ,2, , , , , ,4,5, , , , , , ,4,5, , , , , , , ,6,6, , , , , , ,3,3, , , ,4,5, , , , , , , , ,24,24, , , , , , , , , , ,900,900, , , , , , , ,1,1, , , , ,47,1,.94332407,.95454545
39,2,1,49,5,5,C1,1,10,3,2,1,3, , , , ,3, , , , , , , , , , , ,1, , , , , , , , , , , , , , ,6, , , , , ,6,6,5, , , , ,2,7, , , ,2,9,11,12,6,1,5,3,12, , , , ,3,4,8,10,12, , , , , ,4, , , , , ,4, , , ,10, , , , , , , , , , ,10,4,16, , , ,3,6, , ,9, , , ,3,6, , ,9, , , ,9, , , , ,9, , , ,9, , , , , ,7, , , ,7, , , ,9, , , ,7, , , , , ,10, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,8, , , , , , , ,5, , , ,5, , , , , , , , , , ,13, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,48,1,1.09246215,1.03703704
40,2,1,49,5,3,B1,1,1,1,1,1,1,2,3,5, ,2, , , , ,1, , ,1,2, , ,2, , , , , , ,2, , , , , , , ,2,9, , , , ,2,2,5, , , , ,11,18,20, , ,10,2,7,12,5,1,6,4,4, , , , ,4,7, , , , , , , , ,4, , , , , ,4, , , ,11, , , , , , , , , , ,7,4,16, , , ,9, , , ,7, , , ,5, , , ,9, , , ,10, , , , ,5, , , ,5, , , , , ,9, , , ,5, , , ,5, , , ,5, , , , , ,5, , , ,2, , , , , ,1,5,7, , , , , ,5,7, , , , ,8, , , ,10, ,10, ,5, , , ,4, ,5, ,1,5,7, , , ,2, , , , ,25, , ,74, , , , ,100, , , ,900, ,355, , ,1, , , ,2, ,1, , ,49,1,.84784707,1.05555556
41,2,1,60,6,7,D,1,43,4,2,1,2,3, , , ,3, , , , , , , ,1,3, , ,1,3, , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,2,7, , , ,5,12,6,7,2,11,13,1,16, , , , ,4, , , , , , , , , ,4, , , , , ,4, , , ,10, , , , , , , , , , ,14,4,16, , , ,8, , , ,9, , , ,9, , , ,8, , , ,10, , , , ,8, , , ,9, , , , , ,8, , , ,8, , , ,9, , , ,8, , , , , ,9, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,8, , , , , , , ,6, , , ,5, , , , , , , , , , ,25, , , , , , , , , , , ,900, , , , , , , , ,1, , , , ,50,1,.77236257,.85
42,2,1,33,3,2,A2,2,21,1,2,1,3, , , , ,2, , , , , , , ,1,2, , ,1,2, , , , , , , , , , , , , ,2,5, , , , ,2,2,4, , , , ,5,12,17, , ,2,12,7,5,13,3,8,6,18, , , , ,1,7, , , , , , , , ,1, , , , , ,1,10, , , , , , , , , , , , , ,7,1,18,4, , ,1,2, , ,1, , , ,1,2,5, ,8, , , ,9, , , , ,1,2,5, ,5, , , , , ,9, , , ,1, , , ,1,5, , ,1,2,5,6, , ,1, , , ,1,1,11, , , ,1,5,6,7, , , , ,5,7, , , , ,6, , , ,8,8,6, ,7, , , ,5,7,5, ,1,5,6, , , ,80, , , , ,32,8, , , , , , ,50, , , ,1000,60, , , ,1, , , ,1,1, , , ,52,1,.71410697,.86666667
43,2,1,33,3,4,B2,2,32,2,1,1,1,2, , , ,2, , , , ,1, , ,2, , , , , , , , , , , , , , , , , , ,1,6, , , , ,1,1,4, , , , ,6, , , , ,9,6,7,10,13,1,4,12,8,7,12, , ,12,7,8, , , , , , , ,7,8, , , , ,8, , , , , , ,9,9, , , , , , ,4,16,16, , , ,5, , , ,6, , , ,6, , , ,6, , , ,5, , , , ,6, , , ,5, , , , , ,6, , , ,6, , , ,6, , , ,5,6, , , , ,6, , , ,2, , , , , ,4,7, , , , , , ,4,7, , , , , , , ,7, , ,8, , , , ,5, , ,9, ,4,7, , , , , , , , ,16, , , ,75, , , , , , , ,1000, , ,1000, , , , , ,2, , ,1, , ,53,1,.81815058,.71428571
44,2,1,43,4,4,B2,1,32,2,2,1,2,3, , , ,2, , , , , , , ,1,2, , ,1,2, , , , , , , , , , , , , ,1,2,4,5, , ,2,2,3, , ,3, , , , , , ,7,9,5,1,13,2,6,3,16, , , , ,4, , , , , , , , , ,4, , , , , ,14, , , ,8, , , , , , , , , , ,4,4,16, , , ,8, , , ,8, , , ,8, , , ,8, , , ,8, , , , ,9, , , ,9, , , , , ,9, , , ,9, , , ,9, , , ,9, , , , , ,9, , , ,2, , , , , ,3,4,7, , , , , ,4, , , , , , , ,7,7, , ,8, , , ,7,5, , ,6, ,5, , , , , , , , , , ,25, , , , , , , , , , , ,0, , , , , , , , ,1, , , , ,54,1,.81815058,.71428571
45,2,1,33,3,5,C1,1,33,4,2,1,1,2,3, , ,2, , , , ,1, , ,1,2, , ,7, , , , , , , , , , , , , , ,2, , , , , ,2,2,4, , , , ,2,6, , , ,1,7,11,12,6,3,5,8,4, , , , ,4,17, , , , , , , , ,4,17, , , , ,17, , , ,11, , , , , , , , , ,11,4,17,16, , , ,9, , , ,7, , , ,9, , , ,9, , , ,7, , , , ,7, , , ,9, , , , , ,9, , , ,7, , , ,7, , , ,7, , , , , ,7, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,5, , , , , , , ,3, , , ,5, , , , , , , , , , ,19, , , , , , , , , , , ,1000, , , , , , , , ,1, , , , ,55,1,1.28649606,1.12
46,2,1,20,2,5,C1,1,17,3,2,1,1,2,3,5, ,2,5, , , ,1,2, ,1,2, , ,1, , , , , , ,1,2, , , , , , ,1,2,8, , , ,2,2,4, , , , ,2,14, , , ,7,12,5,9,1,8,3,4,1, , , , ,1,7, , , , , , , , ,1, , , , , ,1,10, , , , , , , , , , , , , ,7,1,16, , , ,1, , , ,1, , , ,1,5, , ,1, , , ,5, , , , ,1,7, , ,1, , , , , ,1,5, , ,1, , , ,1,5, , ,1, , , , , ,1,5, , ,1,1, , , , ,3,5,7, , , , , ,5,7, , , , , , ,7, ,8, ,8, , , ,7, ,5, ,5, ,3,5,7, , , , , ,2, , ,2, , ,59, , , , , , ,120, ,1000, ,360, , , , ,1, ,3, ,2, , ,56,1,1.09246215,1.03703704
47,2,1,37,4,2,A2,2,22,1,1,1,1,2, , , ,1,2, , , ,1,2, ,2, , , , , , , , , , , , , , , , , , ,2,5, , , , ,5,5,4, , , , ,11, , , , ,9,11,12,1,8,4,6,13,16, , , , ,7, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,9, , , ,9, , , ,9, , , ,9, , , ,9, , , , ,9, , , ,6, , , , , ,9, , , ,9, , , ,9, , , ,5,6, , , , ,9, , , ,2, , , , , ,1,2,5,7, , , , ,5,7, , , , ,5,6, , ,9, ,8, ,5,5, , ,5, ,5, ,2,7, , , , , ,8, , , , , , ,54, , , , , ,500, , , , ,1000, , , ,1, , , , ,1, , ,57,1,.71410697,.86666667
48,2,1,49,5,3,B1,2,14,1,2,1,1,2,3,5, ,2, , , , ,1, , ,1,2, , ,1,2, , , , , ,1,2, , , , , , ,5,6, , , , ,6,5,4, , , , ,2,7,11, , ,1,7,6,3,13,2,8,11,16, , , , ,1,4,7, , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,1,7,3,5, ,1, , , ,1, , , ,9, , , ,9, , , ,9, , , , ,1, , , ,9, , , , , ,9, , , ,1, , , ,9, , , ,1, , , , , ,9, , , ,1,1, , , , ,1,4,7, , , , , ,4,7, , , , ,8, , ,7, , ,10, ,5, , ,4, , ,5, ,1,7, , , , ,1, , , , , , , ,73, , , , ,125, , , , , ,100, , ,1, , , , , ,3, , ,58,1,.84784707,1.05555556
49,2,1,41,4,5,C1,2,43,5,3,1,1,2,3,5, ,2, , , , ,1,2, ,1,10, , ,7, , , , , , ,5, , , , , , , ,1,2, , , , ,2,2,5, , , , ,12, , , , ,7,11,9,10,13,4,6,12,1, , , , ,8,1, , , , , , , , ,1,8, , , , ,1,10, , , , , , ,9, , , , , , ,8,1,16, , , ,1,6, , ,1, , , ,1, , , ,1, , , ,10, , , , ,1, , , ,6, , , , , ,1, , , ,1, , , ,1,6, , ,1,6, , , , ,1, , , ,1,1, , , , ,5,7, , , , , , ,5, , , , , , , , , ,7, ,8, , , , , ,1, ,5, ,5,7, , , , , , , , , ,2, , ,62, , , , , , , , ,0, ,350, , , , , , ,2, ,1, , ,59,1,1.28649606,1.12
50,2,1,21,2,7,D,2,10,3,3,1,1,2,3,5, ,2, , , , ,1, , ,2, , , ,3, , , , , , ,2, , , , , , , ,1,5, , , , ,1,1,5, , , , , , , , , ,11,9,2,5,1,4,6,8,16, , , , ,4, , , , , , , , , ,16, , , , , ,16, , , , , , , , , , , , , , , ,16,16, , , ,9, , , ,9, , , ,9, , , ,9, , , ,9, , , , ,9, , , ,9, , , , , ,9, , , ,9, , , ,9, , , ,9, , , , , ,9, , , ,2, , , , , ,1,5, , , , , , ,5, , , , , ,9, , , ,9, , , ,9, , , ,5, , , ,1,5, , , , ,4, , , , ,36, , , , , , , ,100, , , ,120, , , , ,1, , , ,4, , , , ,60,1,.84059992,.86363636
51,2,1,45,4,4,B2,2,10,3,3,1,1,2,3,5, ,1,2,3,5, ,1, , ,1,2, , ,1,2, , , , , ,2, , , , , , , ,2,5, , , , ,2,2,5, , , , , , , , , ,7,9,11,2,13,4,5,6,1, , , , ,1,6,8, , , , , , , ,1,8, , , , ,1,10, , , , , , ,6, , , , , , ,16,16,16, , , ,1, , , ,9, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,9, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,9, , , ,1,1, , , , ,1,3,5,7, , , , ,5,7, , , , ,4, ,5, ,6, ,8, ,4, ,4, ,4, ,5, ,1,3,5,7, , ,3, ,2, , ,2, , ,52, , , , ,100, ,1000, ,1000, ,380, , ,2, ,1, ,3, ,1, , ,61,1,.89314552,.93333333
52,2,1,42,4,5,C1,1,10,3,2,1,1,2,3,5, ,1,2,3,5, ,1, , ,2, , , ,3, , , , , , ,2, , , , , , , ,1,2, , , , ,2,2,4, , , , ,2, , , , ,7,3,11,12,6,10,2,1,1, , , , ,1,2,8, , , , , , , ,1, , , , , ,1,9, , , , , , , , , , , , , ,8,1,16, , , ,1, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,10, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,1, , , , ,4,5,7,8, , , , ,4,5,7, , , , , , ,6, , , ,8, , , ,3,4, ,5,8,4,7,8, , , , , , , ,2, , , ,61, , ,9, , , , ,1000, , ,400,120, , , , ,1, , ,2,1, ,62,1,1.09246215,1.03703704
53,2,1,60,6,7,D,2,33,4,3,1,1, , , , ,1, , , , ,1,3, , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1,1,4, , , , ,2,17, , , ,9,7,5,10,13,2,12,4,4,7,20, , ,4,7,8,20, , , , , , ,4,20, , , , ,20, , , ,6, , , , , , , , , ,9,4,20,7,3, , ,7, , , ,7, , , ,9, , , ,5,7, , ,9, , , , ,7, , , ,5,7, , , , ,7, , , ,7, , , ,9, , , ,7, , , , , ,9, , , ,2, , , , , ,7, , , , , , , ,7, , , , , , , , , , , ,10, , , , , , , ,3, ,7, , , , , , , , , , , , , ,52, , , , , , , , , , ,0, , , , , , , , ,1, , ,64,1,.77236257,.85
54,2,1,58,6,7,D,2,43,4,3,1,2,3, , , ,2, , , , , , , ,1, , , ,1,2, , , , , , , , , , , , , ,2, , , , , ,2,2,4, , , , ,2,10, , , ,9,5,10,7,13,2,3,4,23,46, , , ,2,4,7,8,23,46, , , , ,4,23, , , , ,23, , , ,6, , , , , , , , , ,8,4,23,16, , , ,5,6, , ,5, , , ,5, , , ,5,7, , ,1,7, , , ,5,7, , ,5, , , , , ,5,7, , ,7, , , ,9, , , ,5,7, , , , ,9, , , ,2, , , , , ,5, , , , , , , ,5, , , , , , , , , ,5, , , , , , , ,3, , , ,5, , , , , , , , , , ,38, , , , , , , , , , , ,900, , , , , , , , ,1, , , , ,65,1,.77236257,.85
55,2,1,49,5,5,C1,2,42,4,3,1,3, , , , ,2, , , , , , , ,1, , , ,3, , , , , , , , , , , , , , ,1,2, , , , ,2,2,4, , , , ,1, , , , ,7,11,9,5,1,3,4,2,18, , , , ,7, , , , , , , , , ,7, , , , , ,7, , , , , , , , , , , , , ,11,12,16,18,98, , ,5, , , ,1, , , ,1, , , ,1, , , ,1, , , , ,1, , , ,6, , , , , ,1, , , ,1, , , ,1, , , ,1, , , , , ,1, , , ,1,3, , , , ,1,3,5, , , , , ,5, , , , , ,7, ,7, ,8, , , ,7, ,7, ,6, , , ,1,3,5, , , ,2, ,8, , ,2, , , , , , , ,100, ,1000, ,500, , , , ,1, ,1, ,2, , , , ,66,1,1.28649606,1.12
